what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1332514729366
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r37x201202061313,"com.google.gdt.eclipse.designer",1332514729383
started,bundle,com.google.gdt.eclipse.designer.GXT,2.5.0.r37x201202061331,"com.google.gdt.eclipse.designer.GXT",1332514729386
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.5.0.r37x201202061331,"com.google.gdt.eclipse.designer.SmartGWT",1332514729388
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r37x201202061313,"com.google.gdt.eclipse.designer.UiBinder",1332514729389
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201202052353,"com.google.gdt.eclipse.designer.hosted",1332514729390
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1332514729390
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1332514729391
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1332514729393
started,bundle,org.eclipse.egit.core,2.0.0.201203060023,"org.eclipse.egit.core",1332514729393
started,bundle,org.eclipse.egit.ui,2.0.0.201203060023,"org.eclipse.egit.ui",1332514729394
started,bundle,org.eclipse.jgit,2.0.0.201203060011,"org.eclipse.jgit",1332514729395
os,sysinfo,,,"macosx",1332514729398
arch,sysinfo,,,"x86_64",1332514729398
ws,sysinfo,,,"cocoa",1332514729398
locale,sysinfo,,,"de_DE",1332514729398
processors,sysinfo,,,"2",1332514729398
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332514729398
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1332514729398
java.specification.name,sysinfo,,,"Java Platform API Specification",1332514729398
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332514729398
java.specification.version,sysinfo,,,"1.6",1332514729398
java.vendor,sysinfo,,,"Apple Inc.",1332514729398
